연번,구분,교재명,단원 연번,단원명,주요 어휘,관련 페이지
1,한국문화,세종한국문화1,7과,한국의 자연 속으로 떠나요,감귤,101
2,한국문화,세종한국문화1,6과,춤추고 노래하며 한국의 전통을 느껴 봐요,강강술래,91
,한국문화,세종한국문화1,8과,한국 고유의 매력에 빠져 봐요,강강술래,119
3,한국문화,세종한국문화1,7과,한국의 자연 속으로 떠나요,갯벌,102
4,한국문화,세종한국문화1,2과,한국의 역사 속으로 들어가 봐요,경복궁," 30, 34"
5,한국문화,세종한국문화1,5과,한국의 맛과 멋을 즐겨요,고름,77
6,한국문화,세종한국문화1,7과,한국의 자연 속으로 떠나요,고추,106
7,한국문화,세종한국문화1,5과,한국의 맛과 멋을 즐겨요,고추장," 71, 80"
8,한국문화,세종한국문화1,1과,한국인의 일상을 들여다봐요,공항 철도,14
9,한국문화,세종한국문화1,8과,한국 고유의 매력에 빠져 봐요,곶감,117
10,한국문화,세종한국문화1,1과,한국인의 일상을 들여다봐요,과일 빙수,20
11,한국문화,세종한국문화1,2과,한국의 역사 속으로 들어가 봐요,광화문,28
12,한국문화,세종한국문화1,1과,한국인의 일상을 들여다봐요,군고구마,20
13,한국문화,세종한국문화1,1과,한국인의 일상을 들여다봐요,군밤,21
14,한국문화,세종한국문화1,7과,한국의 자연 속으로 떠나요,김,107
15,한국문화,세종한국문화1,5과,한국의 맛과 멋을 즐겨요,김장,"71, 81"
,한국문화,세종한국문화1,8과,한국 고유의 매력에 빠져 봐요,김장,118
16,한국문화,세종한국문화1,5과,한국의 맛과 멋을 즐겨요,김치," 71, 80"
17,한국문화,세종한국문화1,6과,춤추고 노래하며 한국의 전통을 느껴 봐요,꽹과리,87
18,한국문화,세종한국문화1,3과,한국의 정신이 깃든 곳으로 떠나요,다도,45
19,한국문화,세종한국문화1,1과,한국인의 일상을 들여다봐요,달고나,20
20,한국문화,세종한국문화1,1과,한국인의 일상을 들여다봐요,대학 축제,22
21,한국문화,세종한국문화1,4과,역사의 현장에서 한국의 인물을 만나요,대한 독립 만세,56
22,한국문화,세종한국문화1,2과,한국의 역사 속으로 들어가 봐요,덕수궁," 31, 34"
23,한국문화,세종한국문화1,2과,한국의 역사 속으로 들어가 봐요,덕수궁 돌담길,34
24,한국문화,세종한국문화1,6과,춤추고 노래하며 한국의 전통을 느껴 봐요,동경이,94
25,한국문화,세종한국문화1,5과,한국의 맛과 멋을 즐겨요,된장,80
26,한국문화,세종한국문화1,5과,한국의 맛과 멋을 즐겨요,된장찌개,71
27,한국문화,세종한국문화1,8과,한국 고유의 매력에 빠져 봐요,떡,117
28,한국문화,세종한국문화1,1과,한국인의 일상을 들여다봐요,떡꼬치,20
29,한국문화,세종한국문화1,1과,한국인의 일상을 들여다봐요,떡볶이,20
30,한국문화,세종한국문화1,1과,한국인의 일상을 들여다봐요,떼창,22
31,한국문화,세종한국문화1,8과,한국 고유의 매력에 빠져 봐요,먹방,117
32,한국문화,세종한국문화1,7과,한국의 자연 속으로 떠나요,무궁화,109
33,한국문화,세종한국문화1,5과,한국의 맛과 멋을 즐겨요,백김치,80
34,한국문화,세종한국문화1,4과,역사의 현장에서 한국의 인물을 만나요,보령 머드 축제,59
35,한국문화,세종한국문화1,3과,한국의 정신이 깃든 곳으로 떠나요,부처님 오신 날,53
36,한국문화,세종한국문화1,6과,춤추고 노래하며 한국의 전통을 느껴 봐요,북,87
37,한국문화,세종한국문화1,5과,한국의 맛과 멋을 즐겨요,비빔밥,71
38,한국문화,세종한국문화1,4과,역사의 현장에서 한국의 인물을 만나요,빗살 무늬 토기,60
