grade,headword,homograph,pos,guide,band
1,다,2,명사,모두,초급
1,다녀오다,0,동사,학교에 다녀오다,초급
1,다니다,0,동사,회사에 다니다,초급
1,다르다,0,형용사,모양이 다르다,초급
1,다른,0,관형사,다른 나라,초급
1,다리,1,명사,다리가 길다,초급
1,다섯,1,관형사,숫자,초급
1,다섯,2,수사,숫자,초급
1,다시,0,부사,다시 시작하다,초급
1,다음,0,명사,다음 날,초급
1,단어,0,명사,단어를 외우다,초급
1,닫다,0,동사,문을 닫다,초급
1,달,1,명사,다음 달,초급
1,달,2,의존명사,다음 달,초급
1,달다,5,형용사,맛이 달다,초급
1,담배,0,명사,담배를 피우다,초급
1,대답,0,명사,대답이 없다,초급
1,대사관,0,명사,미국 대사관,초급
1,대학,0,명사,대학에 들어가다,초급
1,대학교,0,명사,대학교에 입학하다,초급
1,대학생,0,명사,대학생이 되다,초급
1,대화,0,명사,대화를 나누다,초급
1,더,0,부사,하나 더,초급
1,덥다,0,형용사,날씨가 덥다,초급
1,도서관,0,명사,도서관에서 공부하다,초급
1,도와주다,0,동사,일을 도와주다,초급
1,도착,1,명사,도착 시간,초급
1,독일,0,명사,나라,초급
1,돈,1,명사,돈을 벌다,초급
1,돌아가다,0,동사,바퀴가 돌아가다,초급
1,돌아오다,0,동사,학교에서 돌아오다,초급
1,돕다,0,동사,아버지를 돕다,초급
1,동대문,0,명사,고적,초급
1,동생,0,명사,동생이 태어나다,초급
1,동안,1,명사,며칠 동안,초급
1,되다,1,동사,배우가 되다,초급
1,된장찌개,0,명사,된장찌개를 끓이다,초급
1,두,1,관형사,숫자,초급
1,둘,0,수사,숫자,초급
1,뒤,0,명사,뒤에 있다,초급
1,드라마,0,명사,드라마를 보다,초급
1,드리다,1,동사,용돈을 드리다,초급
1,듣다,1,동사,음악을 듣다,초급
1,들다,1,동사,돈이 들다,초급
1,들다,4,동사,가방을 들다,초급
1,들어가다,0,동사,방으로 들어가다,초급
1,들어오다,0,동사,일찍 들어오다,초급
1,등산,0,명사,등산을 가다,초급
1,따뜻하다,0,형용사,날씨가 따뜻하다,초급
1,딸,0,명사,딸이 태어나다,초급
1,딸기,0,명사,딸기 잼,초급
1,때,1,의존명사,어릴 때,초급
1,떡볶이,0,명사,떡볶이 일 인분,초급
1,또,0,부사,또 생기다,초급
1,라면,0,명사,라면을 끓이다,초급
1,러시아,0,명사,나라,초급
1,마리,0,의존명사,토끼 한 마리,초급
1,마시다,0,동사,물을 마시다,초급
1,마음,0,명사,마음이 넓다,초급
1,마흔02∙마흔,1,수사∙관형사,숫자,초급
1,만,3,관형사,숫자,초급
1,만,4,수사,숫자,초급
1,만나다,0,동사,친구와 만나다,초급
1,만들다,0,동사,음식을 만들다,초급
1,많다,0,형용사,돈이 많다,초급
1,많이,0,부사,많이 사다,초급
1,말,1,명사,말을 더듬다,초급
1,말다,3,동사,잊지 말다,초급
1,말레이시아,0,명사,나라,초급
1,말씀,0,명사,감사의 말씀,초급
1,맑다,0,형용사,물이 맑다,초급
1,맛,0,명사,맛이 달다,초급
1,맛없다,0,형용사,음식이 맛없다,초급
1,맛있다,0,형용사,맛있는 음식,초급
1,맞다,1,동사,답이 맞다,초급
1,매일,1,명사,매일 만나다,초급
1,매일,2,부사,매일 만나다,초급
1,맵다,0,형용사,고추가 맵다,초급
1,머리,0,명사,머리가 크다,초급
1,먹다,2,동사,아침을 먹다,초급
1,먼저,1,명사,먼저 가다,초급
1,먼저,2,부사,먼저 가다,초급
1,멀다,2,형용사,먼 나라,초급
1,멋있다,0,형용사,멋있는 남자,초급
1,메뉴,0,명사,메뉴를 고르다,초급
1,며칠,0,명사,며칠 동안,초급
1,명,2,의존명사,한 명,초급
1,몇,1,수사,몇 개,초급
1,몇,2,관형사,몇 개,초급
1,모두,1,명사,모두 함께,초급
1,모두,2,부사,모두 함께,초급
1,모레,1,명사,내일 모레,초급
1,모레,2,부사,내일 모레,초급
1,모르다,0,동사,규칙을 모르다,초급
1,모자,2,명사,모자를 쓰다,초급
1,목,1,명사,몸,초급
1,목요일,0,명사,요일,초급
1,목욕탕,0,명사,목욕탕에서 씻다,초급
1,몸,0,명사,몸이 건강하다,초급
1,못,2,부사,못 마시다,초급
1,못하다,1,동사,노래를 못하다,초급
1,못하다,2,형용사,노래를 못하다,초급
1,몽골,0,명사,나라,초급
1,무겁다,0,형용사,무거운 가방,초급
1,무슨,0,관형사,무슨 요일,초급
1,무엇,0,대명사,,초급
1,문,2,명사,문을 열다,초급
1,문화,0,명사,한국 문화,초급
1,묻다,3,동사,길을 묻다,초급
1,물,1,명사,물을 마시다,초급
1,물건,0,명사,남의 물건,초급
1,뭐,1,대명사,,초급
1,미국,0,명사,나라,초급
1,미안,0,명사,미안한 마음,초급
1,미용실,0,명사,미용실을 차리다,초급
1,밑,0,명사,책상 밑,초급
1,바꾸다,0,동사,달러를 원화로 바꾸다,초급
1,바나나,0,명사,과일,초급
1,바다,0,명사,바다를 건너다,초급
1,바람,1,명사,바람이 불다,초급
1,바로,0,부사,바로 시작하다,초급
1,바쁘다,0,형용사,바쁜 생활,초급
